Date,Open,High,Low,Close,Adj Close,Volume
2023-06-20,7.440000,7.540000,7.320000,7.490000,7.455460,1569300
2023-06-21,7.500000,7.570000,7.300000,7.510000,7.475368,1733900
2023-06-22,7.350000,7.520000,7.350000,7.480000,7.445506,1288800
2023-06-23,7.560000,7.690000,7.430000,7.440000,7.405691,1720000
2023-06-26,7.520000,7.590000,7.470000,7.510000,7.475368,1587800
2023-06-27,7.520000,7.630000,7.150000,7.220000,7.186705,1439400
2023-06-28,7.140000,7.270000,7.130000,7.180000,7.146889,1408800
2023-06-29,7.130000,7.180000,7.060000,7.180000,7.146889,864500
2023-06-30,7.150000,7.350000,7.120000,7.350000,7.316105,873700
2023-07-03,7.410000,7.600000,7.340000,7.470000,7.435552,549000
2023-07-05,7.470000,7.470000,7.360000,7.370000,7.336013,951600
2023-07-06,7.350000,7.400000,7.110000,7.280000,7.246428,1752800
2023-07-07,7.320000,7.650000,7.320000,7.480000,7.445506,1438100
2023-07-10,7.460000,7.730000,7.420000,7.620000,7.584860,1633900
2023-07-11,7.650000,7.740000,7.490000,7.560000,7.525137,1980500
2023-07-12,7.700000,7.850000,7.670000,7.840000,7.803846,1743700
2023-07-13,7.920000,8.030000,7.920000,8.020000,7.983016,1717000
2023-07-14,8.020000,8.050000,7.760000,7.760000,7.724215,850700
2023-07-17,7.700000,8.050000,7.590000,7.970000,7.933246,2289500
2023-07-18,7.950000,8.300000,7.850000,7.850000,7.813800,6304300
2023-07-19,7.840000,7.920000,7.690000,7.690000,7.654538,1188700
2023-07-20,7.730000,7.810000,7.320000,7.340000,7.306152,1258700
2023-07-21,7.300000,7.430000,7.220000,7.380000,7.345967,2016300
2023-07-24,7.420000,7.580000,7.380000,7.490000,7.455460,1207900
2023-07-25,7.550000,7.870000,7.490000,7.750000,7.714261,2024000
2023-07-26,7.820000,7.910000,7.680000,7.800000,7.764030,1604500
2023-07-27,7.680000,7.680000,7.220000,7.490000,7.455460,2379900
2023-07-28,7.600000,7.600000,7.310000,7.540000,7.505229,2765200
2023-07-31,7.590000,7.940000,7.590000,7.720000,7.684399,1665300
2023-08-01,7.640000,7.860000,7.540000,7.730000,7.694353,1277400
2023-08-02,7.710000,7.810000,7.570000,7.610000,7.574907,1085200
2023-08-03,7.650000,7.780000,7.600000,7.740000,7.704307,1012600
2023-08-04,7.810000,7.970000,7.770000,7.810000,7.773984,1140100
2023-08-07,7.810000,7.820000,7.660000,7.810000,7.773984,686600
2023-08-08,7.770000,7.850000,7.650000,7.740000,7.704307,1014300
2023-08-09,7.810000,7.850000,7.680000,7.830000,7.793892,737400
2023-08-10,7.920000,8.030000,7.840000,7.890000,7.853615,950000
2023-08-11,7.900000,8.030000,7.870000,8.010000,7.973062,670300
2023-08-14,8.020000,8.020000,7.840000,7.900000,7.863569,797400
2023-08-15,7.900000,7.900000,7.720000,7.760000,7.724215,856600
2023-08-16,7.740000,7.870000,7.700000,7.770000,7.734169,985400
2023-08-17,7.830000,7.880000,7.610000,7.690000,7.654538,1011500
2023-08-18,7.640000,7.760000,7.610000,7.740000,7.704307,870700
2023-08-21,7.670000,7.900000,7.670000,7.830000,7.793892,1148600
2023-08-22,7.850000,8.000000,7.740000,7.980000,7.943200,1113700
2023-08-23,8.020000,8.190000,7.990000,8.100000,8.062647,1206500
2023-08-24,8.050000,8.200000,7.880000,8.150000,8.112416,1376000
2023-08-25,8.140000,8.220000,8.070000,8.170000,8.132324,2046000
2023-08-28,8.190000,8.430000,8.110000,8.400000,8.361263,1050600
2023-08-29,8.400000,8.720000,8.320000,8.660000,8.620065,3519900
2023-08-30,8.710000,8.900000,8.540000,8.630000,8.590203,2322400
2023-08-31,8.650000,8.690000,8.500000,8.540000,8.500618,4703700
2023-09-01,8.640000,8.700000,8.410000,8.410000,8.371217,909000
2023-09-05,8.410000,8.530000,8.260000,8.360000,8.321447,808200
2023-09-06,8.340000,8.460000,8.280000,8.370000,8.331402,763400
2023-09-07,8.370000,8.380000,8.240000,8.280000,8.241817,706900
2023-09-08,8.290000,8.450000,8.280000,8.340000,8.301540,687400
2023-09-11,8.440000,8.510000,8.310000,8.410000,8.371217,3898300
2023-09-12,8.360000,8.520000,8.280000,8.450000,8.411033,845300
2023-09-13,8.470000,8.510000,8.410000,8.500000,8.460802,603100
2023-09-14,8.510000,8.720000,8.440000,8.630000,8.590203,894600
2023-09-15,8.710000,8.920000,8.580000,8.590000,8.550387,3332700
2023-09-18,8.630000,8.760000,8.550000,8.680000,8.639973,910100
2023-09-19,8.740000,8.740000,8.210000,8.310000,8.271679,1305900
2023-09-20,8.290000,8.520000,8.240000,8.260000,8.221910,964100
2023-09-21,8.250000,8.800000,8.220000,8.430000,8.391126,2323500
2023-09-22,8.510000,8.670000,8.470000,8.540000,8.500618,943700
2023-09-25,8.500000,8.580000,8.470000,8.540000,8.500618,3695200
2023-09-26,8.510000,8.620000,8.420000,8.460000,8.420987,1352500
2023-09-27,8.440000,8.510000,8.270000,8.430000,8.391126,2451700
2023-09-28,8.450000,8.670000,8.400000,8.490000,8.450849,1429500
2023-09-29,8.590000,8.630000,8.390000,8.520000,8.480711,893900
2023-10-02,8.490000,8.490000,8.200000,8.280000,8.241817,1492700
2023-10-03,8.230000,8.380000,8.150000,8.170000,8.132324,1142700
2023-10-04,8.130000,8.160000,7.920000,8.010000,7.973062,1187100
2023-10-05,7.950000,8.070000,7.850000,7.990000,7.953154,1050700
2023-10-06,8.000000,8.210000,8.000000,8.120000,8.082555,796900
2023-10-09,8.230000,8.390000,8.230000,8.250000,8.211955,683100
2023-10-10,8.300000,8.300000,8.120000,8.200000,8.162186,735400
2023-10-11,8.280000,8.350000,8.210000,8.320000,8.281632,948100
2023-10-12,8.340000,8.340000,8.120000,8.150000,8.112416,735500
2023-10-13,8.410000,8.530000,8.310000,8.390000,8.351310,573800
2023-10-16,8.390000,8.600000,8.340000,8.490000,8.450849,1085900
2023-10-17,8.480000,8.640000,8.300000,8.400000,8.361263,1257000
2023-10-18,8.470000,8.640000,8.320000,8.390000,8.351310,828600
2023-10-19,8.370000,8.460000,8.250000,8.430000,8.391126,819100
2023-10-20,8.430000,8.840000,8.430000,8.540000,8.500618,1661300
2023-10-23,8.500000,8.610000,8.300000,8.470000,8.430941,1172400
2023-10-24,8.510000,8.700000,8.450000,8.630000,8.590203,1175500
2023-10-25,8.680000,8.790000,8.550000,8.580000,8.540433,958900
2023-10-26,8.610000,8.620000,8.340000,8.390000,8.351310,1915300
2023-10-27,8.440000,8.460000,8.220000,8.440000,8.401078,999500
2023-10-30,8.480000,8.490000,8.190000,8.240000,8.202001,1001300
2023-10-31,8.130000,8.200000,7.730000,8.100000,8.062647,3985100
2023-11-01,8.190000,8.310000,8.060000,8.160000,8.122370,1005300
2023-11-02,8.180000,8.310000,8.170000,8.190000,8.152231,859300
2023-11-03,8.310000,8.690000,8.310000,8.440000,8.401078,2681300
2023-11-06,8.440000,8.580000,8.430000,8.490000,8.450849,1583900
2023-11-07,8.470000,8.570000,8.270000,8.540000,8.500618,5100600
2023-11-08,8.480000,8.680000,8.380000,8.480000,8.440894,668800
2023-11-09,8.530000,8.690000,8.440000,8.630000,8.590203,1041900
2023-11-10,8.620000,9.000000,8.600000,8.920000,8.878865,1432500
2023-11-13,8.870000,8.960000,8.410000,8.440000,8.401078,1322200
2023-11-14,8.590000,8.800000,8.540000,8.690000,8.649926,1024600
2023-11-15,8.700000,8.780000,8.460000,8.660000,8.620065,900000
2023-11-16,8.670000,8.950000,8.630000,8.760000,8.719604,2004500
