Date,Open,High,Low,Close,Adj Close,Volume
2023-06-20,3.280000,3.280000,3.130000,3.130000,3.130000,2834400
2023-06-21,3.100000,3.140000,3.060000,3.110000,3.110000,2561700
2023-06-22,3.070000,3.100000,3.050000,3.070000,3.070000,1819000
2023-06-23,3.110000,3.170000,3.060000,3.060000,3.060000,1984500
2023-06-26,3.080000,3.180000,3.070000,3.160000,3.160000,1744300
2023-06-27,3.190000,3.200000,3.100000,3.120000,3.120000,1620600
2023-06-28,3.090000,3.150000,3.080000,3.120000,3.120000,1957100
2023-06-29,3.100000,3.200000,3.070000,3.200000,3.200000,1890100
2023-06-30,3.220000,3.260000,3.170000,3.240000,3.240000,2083200
2023-07-03,3.270000,3.330000,3.270000,3.290000,3.290000,1451800
2023-07-05,3.280000,3.290000,3.200000,3.200000,3.200000,1976700
2023-07-06,3.200000,3.210000,3.070000,3.090000,3.090000,2307600
2023-07-07,3.100000,3.210000,3.100000,3.140000,3.140000,2936700
2023-07-10,3.120000,3.190000,3.060000,3.180000,3.180000,3179600
2023-07-11,3.170000,3.220000,3.110000,3.140000,3.140000,3181400
2023-07-12,3.210000,3.510000,3.200000,3.470000,3.470000,5145000
2023-07-13,3.490000,3.550000,3.400000,3.520000,3.520000,3767600
2023-07-14,3.520000,3.650000,3.490000,3.610000,3.610000,3975100
2023-07-17,3.550000,3.710000,3.470000,3.690000,3.690000,3765500
2023-07-18,3.710000,3.870000,3.690000,3.850000,3.850000,4888900
2023-07-19,3.830000,3.900000,3.810000,3.840000,3.840000,3642000
2023-07-20,3.790000,3.850000,3.710000,3.710000,3.710000,2473100
2023-07-21,3.690000,3.740000,3.630000,3.650000,3.650000,2130300
2023-07-24,3.610000,3.650000,3.550000,3.570000,3.570000,2278300
2023-07-25,3.590000,3.660000,3.580000,3.650000,3.650000,1697400
2023-07-26,3.650000,3.670000,3.600000,3.660000,3.660000,1864500
2023-07-27,3.610000,3.610000,3.440000,3.440000,3.440000,3295900
2023-07-28,3.500000,3.510000,3.430000,3.460000,3.460000,1345800
2023-07-31,3.490000,3.590000,3.480000,3.550000,3.550000,2184300
2023-08-01,3.460000,3.480000,3.380000,3.400000,3.400000,1929800
2023-08-02,3.390000,3.390000,3.250000,3.310000,3.310000,3212200
2023-08-03,3.260000,3.300000,3.230000,3.270000,3.270000,2684600
2023-08-04,3.310000,3.410000,3.300000,3.340000,3.340000,2478400
2023-08-07,3.310000,3.320000,3.250000,3.290000,3.290000,1764900
2023-08-08,3.250000,3.310000,3.210000,3.300000,3.300000,2504100
2023-08-09,3.270000,3.320000,3.250000,3.280000,3.280000,1950800
2023-08-10,3.180000,3.240000,2.880000,2.910000,2.910000,6573500
2023-08-11,2.960000,3.040000,2.930000,3.000000,3.000000,2650700
2023-08-14,3.000000,3.010000,2.930000,2.990000,2.990000,3424700
2023-08-15,2.970000,3.020000,2.930000,2.930000,2.930000,3376500
2023-08-16,2.960000,2.960000,2.840000,2.840000,2.840000,2858800
2023-08-17,2.860000,2.900000,2.830000,2.850000,2.850000,2764000
2023-08-18,2.870000,2.870000,2.810000,2.860000,2.860000,2399600
2023-08-21,2.890000,2.940000,2.850000,2.920000,2.920000,2306500
2023-08-22,2.940000,2.940000,2.860000,2.910000,2.910000,2199000
2023-08-23,2.910000,3.060000,2.910000,3.020000,3.020000,2504300
2023-08-24,3.000000,3.090000,2.960000,3.030000,3.030000,2639500
2023-08-25,3.010000,3.060000,2.940000,2.980000,2.980000,1991300
2023-08-28,2.990000,3.120000,2.970000,3.060000,3.060000,3043800
2023-08-29,3.070000,3.160000,3.030000,3.150000,3.150000,3337400
2023-08-30,3.190000,3.220000,3.110000,3.140000,3.140000,2771300
2023-08-31,3.120000,3.150000,3.070000,3.100000,3.100000,1711900
2023-09-01,3.140000,3.170000,2.990000,2.990000,2.990000,2386800
2023-09-05,2.930000,2.970000,2.870000,2.880000,2.880000,1973500
2023-09-06,2.870000,2.900000,2.810000,2.830000,2.830000,2249100
2023-09-07,2.830000,2.840000,2.770000,2.780000,2.780000,1225300
2023-09-08,2.810000,2.860000,2.780000,2.780000,2.780000,1655900
2023-09-11,2.800000,2.870000,2.800000,2.800000,2.800000,1513900
2023-09-12,2.770000,2.870000,2.750000,2.800000,2.800000,1479500
2023-09-13,2.800000,2.890000,2.800000,2.880000,2.880000,2523500
2023-09-14,2.860000,2.980000,2.850000,2.930000,2.930000,2596200
2023-09-15,2.980000,3.070000,2.980000,3.020000,3.020000,3100200
2023-09-18,3.030000,3.050000,2.980000,3.000000,3.000000,1635200
2023-09-19,3.000000,3.040000,2.930000,2.940000,2.940000,1743100
2023-09-20,2.950000,3.010000,2.920000,2.930000,2.930000,2284100
2023-09-21,2.870000,2.910000,2.840000,2.880000,2.880000,2300900
2023-09-22,2.920000,2.940000,2.840000,2.850000,2.850000,1664200
2023-09-25,2.860000,2.860000,2.800000,2.810000,2.810000,2327800
2023-09-26,2.800000,2.800000,2.680000,2.690000,2.690000,2597300
2023-09-27,2.680000,2.760000,2.630000,2.670000,2.670000,2530500
2023-09-28,2.670000,2.740000,2.660000,2.730000,2.730000,2744000
2023-09-29,2.820000,2.840000,2.670000,2.720000,2.720000,2663900
2023-10-02,2.680000,2.690000,2.600000,2.640000,2.640000,2132100
2023-10-03,2.600000,2.690000,2.600000,2.670000,2.670000,2386700
2023-10-04,2.690000,2.690000,2.580000,2.640000,2.640000,2723900
2023-10-05,2.670000,2.800000,2.660000,2.740000,2.740000,2833900
2023-10-06,2.760000,2.850000,2.750000,2.810000,2.810000,2876100
2023-10-09,2.870000,2.890000,2.820000,2.840000,2.840000,1765800
2023-10-10,2.850000,2.890000,2.800000,2.830000,2.830000,2300100
